R&D Spend,Administration,Marketing Spend,State,Profit
165349,136898,471784,New York,192262
162598,151378,443899,California,191792
153442,101146,407935,Florida,191050
144372,118672,383200,New York,182902
142107,91392,366168,Florida,166188
131877,99815,362861,New York,156991
134615,147199,127717,California,156123
130298,145530,323877,Florida,155753
120543,148719,311613,New York,152212
123335,108679,304982,California,149760
101913,110594,229161,Florida,146122
100672,91791,249745,California,144259
93864,127320,249839,Florida,141586
91992,135495,252665,California,134307
119943,156547,256513,Florida,132603
114524,122617,261776,New York,129917
78013,121598,264346,California,126993
94657,145078,282574,New York,125370
91749,114176,294920,Florida,124267
86420,153514,0,New York,122777
76254,113867,298664,California,118474
78389,153773,299737,New York,111313
73995,122783,303319,Florida,110352
67533,105751,304769,Florida,108734
77044,99281,140575,New York,108552
64665,139553,137963,California,107404
75329,144136,134050,Florida,105734
72108,127865,353184,New York,105008
66052,182646,118148,Florida,103282
65605,153032,107138,New York,101005
61994,115641,91131,Florida,99938
61136,152702,88218,New York,97484
63409,129220,46085,California,97428
55494,103057,214635,Florida,96779
46426,157694,210798,California,96713
46014,85047,205518,New York,96480
28664,127056,201127,Florida,90708
44070,51283,197029,California,89949
20230,65948,185265,New York,81229
38559,82982,174999,California,81006
28754,118546,172796,California,78240
27893,84711,164471,Florida,77799
23641,96190,148001,California,71498
15506,127382,35534,New York,69759
22178,154806,28335,California,65200
1000,124153,1904,New York,64926
1315,115816,297114,Florida,49491
0,135427,0,California,42560
542,51743,0,New York,35673
0,116984,45173,California,14681
